scenario_id,baseline_or_sensitivity,co2_accounting_mode,Q_thermal_MWth,W_net_MWe,eta_net_percent,FOM_tCO2_per_MWth_yr,UQ_p50,UQ_p90,UQ_ci95_low,UQ_ci95_high
S0_BASE_30MW_OPONLY,sensitivity_boundary,operational_only,30.0,9.62839103616694,32.09463678722314,3014.7861848326615,,,,
S1_36MW_OPONLY,sensitivity_boundary,operational_only,36.0,11.464170816185478,31.844918933848547,3025.632030987169,,,,
S2_30MW_FUELDISP,baseline,fuel_displacement,30.0,9.62839103616694,32.09463678722314,1012.1364842083793,1007.9019513075856,1220.1263985655455,690.1633277954511,1238.5471090014762
S3_36MW_FUELDISP,sensitivity_power,fuel_displacement,36.0,11.464170816185478,31.844918933848547,1004.2613818405212,,,,
